run,type,module,name,attrname,attrvalue,vectime,vecvalue
General-39-20250723-17:38:47-8981,vector,RGG.node[6],visitedPerTimestep,,,"0","5"
General-39-20250723-17:38:47-8981,vector,RGG.node[5],visitedPerTimestep,,,"0","8"
General-39-20250723-17:38:47-8981,vector,RGG.node[14],visitedPerTimestep,,,"0 0 0 0","11 12 15 17"
General-39-20250723-17:38:47-8981,vector,RGG.node[18],visitedPerTimestep,,,"0","12"
General-39-20250723-17:38:47-8981,vector,RGG.node[1],visitedPerTimestep,,,"0","19"
General-39-20250723-17:38:47-8981,vector,RGG.node[11],visitedPerTimestep,,,"0","22"
General-39-20250723-17:38:47-8981,vector,RGG.node[16],visitedPerTimestep,,,"0 0","23 25"
General-39-20250723-17:38:47-8981,vector,RGG.node[8],visitedPerTimestep,,,"0","23"
General-3-20250723-17:38:46-8916,vector,RGG.node[3],visitedPerTimestep,,,"0","1"
General-3-20250723-17:38:46-8916,vector,RGG.node[9],visitedPerTimestep,,,"0 0","2 7"
General-3-20250723-17:38:46-8916,vector,RGG.node[0],visitedPerTimestep,,,"0","3"
General-3-20250723-17:38:46-8916,vector,RGG.node[22],visitedPerTimestep,,,"0","4"
General-3-20250723-17:38:46-8916,vector,RGG.node[19],visitedPerTimestep,,,"0","5"
General-3-20250723-17:38:46-8916,vector,RGG.node[24],visitedPerTimestep,,,"0 0","8 23"
General-3-20250723-17:38:46-8916,vector,RGG.node[20],visitedPerTimestep,,,"0","10"
General-3-20250723-17:38:46-8916,vector,RGG.node[14],visitedPerTimestep,,,"0","13"
General-3-20250723-17:38:46-8916,vector,RGG.node[2],visitedPerTimestep,,,"0","16"
General-3-20250723-17:38:46-8916,vector,RGG.node[7],visitedPerTimestep,,,"0","19"
General-3-20250723-17:38:46-8916,vector,RGG.node[15],visitedPerTimestep,,,"0","23"
General-3-20250723-17:38:46-8916,vector,RGG.node[5],visitedPerTimestep,,,"0","23"
General-3-20250723-17:38:46-8916,vector,RGG.node[18],visitedPerTimestep,,,"0","25"
General-42-20250723-17:38:47-8983,vector,RGG.node[20],visitedPerTimestep,,,"0","1"
General-42-20250723-17:38:47-8983,vector,RGG.node[14],visitedPerTimestep,,,"0 0","2 21"
General-42-20250723-17:38:47-8983,vector,RGG.node[10],visitedPerTimestep,,,"0","3"
General-42-20250723-17:38:47-8983,vector,RGG.node[7],visitedPerTimestep,,,"0 0 0","4 11 21"
General-42-20250723-17:38:47-8983,vector,RGG.node[21],visitedPerTimestep,,,"0","5"
General-42-20250723-17:38:47-8983,vector,RGG.node[23],visitedPerTimestep,,,"0","8"
General-42-20250723-17:38:47-8983,vector,RGG.node[24],visitedPerTimestep,,,"0 0","10 14"
General-42-20250723-17:38:47-8983,vector,RGG.node[22],visitedPerTimestep,,,"0","13"
General-42-20250723-17:38:47-8983,vector,RGG.node[17],visitedPerTimestep,,,"0","17"
General-42-20250723-17:38:47-8983,vector,RGG.node[2],visitedPerTimestep,,,"0","19"
General-42-20250723-17:38:47-8983,vector,RGG.node[1],visitedPerTimestep,,,"0","22"
General-42-20250723-17:38:47-8983,vector,RGG.node[12],visitedPerTimestep,,,"0","25"
General-45-20250723-17:38:47-8984,vector,RGG.node[3],visitedPerTimestep,,,"0 0","1 3"
General-45-20250723-17:38:47-8984,vector,RGG.node[0],visitedPerTimestep,,,"0 0","2 23"
General-45-20250723-17:38:47-8984,vector,RGG.node[22],visitedPerTimestep,,,"0","3"
General-45-20250723-17:38:47-8984,vector,RGG.node[5],visitedPerTimestep,,,"0","4"
General-45-20250723-17:38:47-8984,vector,RGG.node[14],visitedPerTimestep,,,"0","7"
General-45-20250723-17:38:47-8984,vector,RGG.node[8],visitedPerTimestep,,,"0","9"
General-45-20250723-17:38:47-8984,vector,RGG.node[9],visitedPerTimestep,,,"0","11"
General-45-20250723-17:38:47-8984,vector,RGG.node[2],visitedPerTimestep,,,"0","14"
General-45-20250723-17:38:47-8984,vector,RGG.node[7],visitedPerTimestep,,,"0","16"
General-45-20250723-17:38:47-8984,vector,RGG.node[18],visitedPerTimestep,,,"0","19"
General-45-20250723-17:38:47-8984,vector,RGG.node[11],visitedPerTimestep,,,"0","21"
General-45-20250723-17:38:47-8984,vector,RGG.node[23],visitedPerTimestep,,,"0","22"
General-45-20250723-17:38:47-8984,vector,RGG.node[16],visitedPerTimestep,,,"0","23"
General-45-20250723-17:38:47-8984,vector,RGG.node[24],visitedPerTimestep,,,"0","25"
General-48-20250723-17:38:47-8992,vector,RGG.node[20],visitedPerTimestep,,,"0 0","1 24"
General-48-20250723-17:38:47-8992,vector,RGG.node[17],visitedPerTimestep,,,"0 0 0 0","2 3 9 16"
General-48-20250723-17:38:47-8992,vector,RGG.node[4],visitedPerTimestep,,,"0 0","3 19"
General-48-20250723-17:38:47-8992,vector,RGG.node[0],visitedPerTimestep,,,"0","4"
General-48-20250723-17:38:47-8992,vector,RGG.node[2],visitedPerTimestep,,,"0","6"
General-48-20250723-17:38:47-8992,vector,RGG.node[7],visitedPerTimestep,,,"0","7"
General-48-20250723-17:38:47-8992,vector,RGG.node[15],visitedPerTimestep,,,"0","10"
General-48-20250723-17:38:47-8992,vector,RGG.node[22],visitedPerTimestep,,,"0","12"
General-48-20250723-17:38:47-8992,vector,RGG.node[23],visitedPerTimestep,,,"0","19"
General-48-20250723-17:38:47-8992,vector,RGG.node[16],visitedPerTimestep,,,"0","21"
General-48-20250723-17:38:47-8992,vector,RGG.node[13],visitedPerTimestep,,,"0","21"
General-48-20250723-17:38:47-8992,vector,RGG.node[6],visitedPerTimestep,,,"0","25"
General-6-20250723-17:38:46-8914,vector,RGG.node[10],visitedPerTimestep,,,"0 0 0","1 3 22"
General-6-20250723-17:38:46-8914,vector,RGG.node[3],visitedPerTimestep,,,"0","2"
General-6-20250723-17:38:46-8914,vector,RGG.node[21],visitedPerTimestep,,,"0","3"
General-6-20250723-17:38:46-8914,vector,RGG.node[14],visitedPerTimestep,,,"0","4"
General-6-20250723-17:38:46-8914,vector,RGG.node[17],visitedPerTimestep,,,"0","6"
General-6-20250723-17:38:46-8914,vector,RGG.node[13],visitedPerTimestep,,,"0 0","9 12"
General-6-20250723-17:38:46-8914,vector,RGG.node[12],visitedPerTimestep,,,"0 0","9 18"
General-6-20250723-17:38:46-8914,vector,RGG.node[1],visitedPerTimestep,,,"0 0","10 24"
General-6-20250723-17:38:46-8914,vector,RGG.node[6],visitedPerTimestep,,,"0","15"
General-6-20250723-17:38:46-8914,vector,RGG.node[9],visitedPerTimestep,,,"0","23"
General-6-20250723-17:38:46-8914,vector,RGG.node[19],visitedPerTimestep,,,"0","23"
General-6-20250723-17:38:46-8914,vector,RGG.node[5],visitedPerTimestep,,,"0","24"
General-6-20250723-17:38:46-8914,vector,RGG.node[8],visitedPerTimestep,,,"0","25"
General-9-20250723-17:38:46-8915,vector,RGG.node[23],visitedPerTimestep,,,"0 0","1 3"
General-9-20250723-17:38:46-8915,vector,RGG.node[22],visitedPerTimestep,,,"0 0","2 6"
General-9-20250723-17:38:46-8915,vector,RGG.node[1],visitedPerTimestep,,,"0 0 0","3 11 17"
General-9-20250723-17:38:46-8915,vector,RGG.node[20],visitedPerTimestep,,,"0 0","4 20"
General-9-20250723-17:38:46-8915,vector,RGG.node[14],visitedPerTimestep,,,"0","8"
General-9-20250723-17:38:46-8915,vector,RGG.node[12],visitedPerTimestep,,,"0","10"
General-9-20250723-17:38:46-8915,vector,RGG.node[6],visitedPerTimestep,,,"0 0","13 23"
General-9-20250723-17:38:46-8915,vector,RGG.node[4],visitedPerTimestep,,,"0","19"
General-9-20250723-17:38:46-8915,vector,RGG.node[19],visitedPerTimestep,,,"0","22"
General-9-20250723-17:38:46-8915,vector,RGG.node[0],visitedPerTimestep,,,"0","25"
